train_loss,val_loss
3.323699903334417,3.60740895143577
2.282650724762962,3.4612109590144384
1.9095352611962766,3.6141392773992957
1.7352780491586715,3.476828346295016
1.6710550727707052,3.1013113655859517
1.6698729702759356,3.5300934774180255
1.8049511231245503,3.0670716170931147
1.9260512070050315,4.009863949247769
1.77236527313907,2.950565406875241
1.480731221004611,3.1142643711396625
1.5322902645501826,3.043803114532715
1.6808288867570578,3.099927988435541
1.5751971769782285,2.968937931227542
1.427198018346514,3.108685814553783
1.5597408481592696,2.940210996461766
1.4587107989345751,3.062732183596208
1.5510916615289354,3.012831259341467
1.5435210683989147,2.9188460347553096
1.446121664806491,3.017421701124736
1.4957158836935247,3.2146178654261996
1.380841700330613,3.2092076055705547
1.47922254987948,2.9703199542349292
1.4587579337318266,2.8627192239676202
1.4061809139000991,2.8772275819487514
1.3850796401264176,2.950576671709617
1.5739032565837814,2.8799097633787563
1.6322936440507572,3.026373987573953
1.524861520363225,3.06941192827764
1.4144571960741092,2.974147966131568
1.364719184692062,2.879726686115776
1.38592540865971,2.9169077835977077
1.3834895724578509,2.9486687790957236
1.3373610455956724,2.8211378225435815
1.3395256152938282,2.893735388648652
1.4305417115193984,2.929079467874198
1.3265471216586848,3.3209291884586927
1.3508365459976688,3.0037552384393558
1.3296646673587107,2.902344871134985
1.3637589194649269,2.8620817910081575
1.33021842147268,2.831959192419336
1.3308174397264207,2.85923015548005
1.3950151545513008,2.977793762016864
1.5227839767282445,3.157872561542761
1.3927369378507137,2.8439636739591756
1.3426552426276936,2.890936695571457
1.3175028861455975,2.816213850020653
1.3038962651931105,2.9769173021472635
1.3309551237357988,2.908641418264735
1.3118803239471855,2.901473826595715
1.4057927645802024,2.7932335564068387
1.2282356953928395,2.827855784446001
1.214620344961683,2.808075824175917
1.2106637624314143,2.7881125178897666
1.1961692126526955,2.8172258110273454
1.2190164774360637,2.7677919247764207
1.2378823033253115,2.7682412796698155
1.1975880044379406,2.772768123075366
1.2033224405040817,2.763695009274497
1.2085963716168726,2.779611334914253
1.210758498603744,2.838916926866486
1.2122263010473004,2.7629518378525972
1.193027821413818,2.794041204399296
1.209632342208236,2.815004191139624
1.2174486139464,2.7941979695821093
1.1998965164853468,2.797286481108694
1.2104158584353706,2.765413279778191
1.218707715116796,2.7477451715440977
1.216346871669567,2.7635946993583014
1.1923890914472322,2.8239933681629954
1.1958925963808147,2.7518955645639274
1.1997342419086232,2.7566588703720343
1.1811596011476857,2.7677346219619117
1.205566406412612,2.7408236353436397
1.1983583184727837,2.761372130585923
1.1786959139955422,2.761293597164608
1.1400722351871313,2.728090107662692
1.1264116212814337,2.719823091290891
1.132307115321358,2.715285673160993
1.129986971764574,2.7238876131318865
1.138322645014832,2.7139206691423343
1.1317005488016303,2.724246370118289
1.1312174269752133,2.7151408211461137
1.1264723680233435,2.721535211828138
1.128216890751251,2.712443858961619
1.1300374319599498,2.780744221504955
1.1296208266109702,2.7294573867693543
1.1238096169536076,2.7255290182573453
1.1454455046249288,2.724353266613824
1.1286171829948823,2.7341817673295736
1.1289254020869968,2.7047722180418314
1.1299093307276804,2.7212287633724155
1.1260622184102733,2.747513005421275
1.1300939663889862,2.744556626571076
1.1101178669533323,2.722327828762077
1.1215846690068405,2.7134137109276795
1.127072043495164,2.7293976365278163
1.1160383073997402,2.8448534367960834
1.1198561804605618,2.727326951477499
1.1155786648067454,2.7664146427774714
1.1197096593973657,2.719414930302827
